,links,noticia,titulos,estacoes,categorias
10,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/alckmin-cita-temer-e-afirma-que-governante-sem-voto-e-intruso.htm," O pré-candidato à presidência Geraldo Alckmin (PSDB) fez uma análise do governo Michel Temer e ressaltou que faltou legitimidade ao político do MDB no comando do Brasil. Na sabatina promovida por <p> ""Quem ganhar essa eleição terá o apoio de pelo menos 55 milhões de brasileiros no segundo turno"", afirmou Alckmin. ""A legitimidade nas urnas é forte. Quem não tem voto é intruso.""<p> De acordo com o pré-candidato, este foi um dos principais problemas do governo Temer, que assumiu após o Impeachment de Dilma Rousseff (PT). <p> ""Eu já fui governador com voto e sem voto"", lembrou Alckmin, ao se referir ao primeiro mandato no governo de São Paulo (2001-2002) com o morte de então governador Mário Covas, de quem era vice. ""Com voto é muito diferente.""<p> Alckmin desviou quando perguntado sobre uma possível nota para o governo Temer e afirmou que o Impeachment foi um ""trauma"", apesar de seu partido ter sido um dos principais apoiadores.<p> Alckmin também não respondeu sobre contar com o apoio do MDB, caso eleito. De acordo com o ex-governador, o número de partidos no país dificulta uma maioria.<p> ""Como fazer as reformas, que demandam mudanças constitucionais e requerem três quintos do Congresso [sem alianças]?"", questionou o tucano. ""Nenhum partido mais ter mais do que 10% da Casa.""<p> Ainda assim, Alckmin prometeu a realização de ""no mínimo"" quatro grandes reformas caso eleito: política, com adoção do voto distrital ou distrital misto e de cláusula de barreira; simplificação tributária; reforma do Estado, com diminuição dos gastos públicos; e da Previdência.<p> Para o ex-governador, é a força do voto que ajudará o presidente eleito nas suas alianças.<p> Alckmin é o terceiro sabatinado da série. O senador <p> No último dia 21, foi a vez do <p> Na quinta-feira (24), a pré-candidata Marina Silva (Rede) será a quarta entrevistada."," Alckmin cita Temer e afirma que governante sem voto é ""intruso"" ",{sp},"{mdb, psdb, rede, pt}"
11,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/alckmin-diz-que-pt-e-bolsonaro-sao-iguais-e-critica-coisa-atrasada.htm," O pré-candidato à presidência Geraldo Alckmin (PSDB) afirmou na sabatina promovida por <p> ""O Bolsonaro e o PT são a mesma coisa, é o corporativismo puro"", afirmou o ex-governador de São Paulo. ""Se você pegar os votos do Bolsonaro, é muito junto com o PT, é uma coisa atrasada.""<p> Segundo Alckmin, os dois pré-candidatos mais bem colocador na <p> ""O sofrimento foi muito grande com esse populismo"", afirmou o ex-governador. ""Caranguejo é quem anda para trás. O Brasil não vai regredir.""<p> Alckmin não foi tão duro com Ciro Gomes (PDT), com quem disputa o quarto lugar, atrás de Lula (PT), Bolsonaro e Marina (REDE). De acordo com pré-candidato, o ex-governador do Ceará não é corporativista e ""tem espírito público"".<p> ""O Ciro sempre foi do PSDB"", lembrou Alckmin. ""Mas temos divergências: nós queremos desestatizar e ele quer reestatizar.""<p> Alckmin é o terceiro sabatinado da série. O senador <p> No último dia 21, foi a vez do <p> Na quinta-feira (24), a pré-candidata Marina Silva (Rede) será a quarta entrevistada.",do UOL,"{sp, ce}","{psdb, pdt, rede, pt}"
12,https://www3.uol.com.br/uolmais/2018/05/23/alckmin-diz-que-aecio-nao-sera-candidato-e-que-nao-subira-em-palanque.htm,"O pré-candidato à presidência Geraldo Alckmin (PSDB) não pretende ter o apoio do colega de partido Aécio Neves em sua campanha eleitoral. Na sabatina promovida por UOL, Folha de S. Paulo e SBT nesta quarta-feira (23), o ex-governador disse acreditar que o senador não será candidato à reeleição e desconversou sobre a possibilidade de ter a companhia do político mineiro durante os próximos meses."," Alckmin diz que PT e Bolsonaro são iguais e critica: ""Coisa atrasada"" ",{},{psdb}
13,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/sabatina-geraldo-alckmin.htm,"Carine Wallauer/UOL<p>Geraldo Alckmin, pré-candidato do PSDB à Presidência, participa de sabatina com jornalistas do UOL, Folha de S. Paulo e SBT<p> Pré-candidato do PSDB à Presidência do Brasil, o ex-governador de São Paulo Geraldo Alckmin minimizou nesta quarta-feira (23), durante sabatina promovida por <p> Segundo os últimos levantamentos, Alckmin estaria fora do segundo turno se a eleição fosse hoje. O tucano chegou a aparecer com 4% das intenções de voto em um cenário da pesquisa CNT/MDA divulgado na semana passada, ficando em 5º lugar.<p> Diante do desempenho que preocupa seus aliados, ele minimizou os resultados e disse que ""as pessoas se impressionam com pesquisa eleitoral neste momento"". ""Pesquisa eleitoral nesse momento não está olhando o futuro"", declarou. ""Eu tenho de 6 a 12%. Eu não decolei. O que é decolar? Até 15 dias atrás, tinha 22 pré-candidatos. Isso é fruto da falta da reforma política"", avaliou.<p> Alckmin citou o desempenho dos ex-prefeitos de São Paulo João Doria (PSDB) e Fernando Haddad (PT), que ficaram em 1º e 2º lugar no último pleito municipal e tinham ""um dígito"" nas intenções de voto no início da campanha de 2016. Em comparação, os então candidatos Celso Russomano (PRB) e Marta Suplicy (MDB) tinham, segundo Alckmin, 30% e 20%, respectivamente.<p> ""O processo eleitoral não começou. Os argumentos da eleição ainda não comentaram. Quem está interessado na eleição? Só nós"", respondeu aos jornalistas que participaram da sabatina, acrescentando que a população só se empenhará na campanha em agosto, após a Copa do Mundo.<p> Alckmin afirmou que discute alianças com cinco partidos, mas descartou, no momento, se aliar ao MDB – cujo nome ao Planalto, Henrique Meirelles, disse respeitar.<p> Quanto às suposições de que Doria, pré-candidato ao governo de São Paulo, possa substitui-lo como cabeça de chapa na campanha à Presidência, afirmou que isso é ""fake news"". Ele ainda criticou a ""criatividade"" da imprensa e citou nomes que não foram para a frente, como o apresentador Luciano Huck e o ex-ministro do STF (Supremo Tribunal Federal) Joaquim Barbosa.<p> Segundo Alckmin, as definições de alianças e do vice na chapa só acontecerão em meados de julho, época das convenções partidárias. Ele afirmou acreditar que irá crescer e ""crescer forte"", com foco em agosto e setembro, pós-Copa do Mundo e festas juninas. Em viagens pelo Brasil, o ex-governador de São Paulo tem dito que o interesse do público às eleições só se manifestará semanas antes do primeiro turno do pleito e quando começar a campanha na televisão e no rádio.<p> O tucano declarou também que se sente indignado com as suspeitas de supostos crimes ocorridos em suas campanhas eleitorais e disse que ""não tem absolutamente nada"" nas investigações sobre ele.<p> Em uma defesa da própria trajetória política, Alckmin disse ter 40 anos de vida pública, citou suas experiências como vereador e prefeito de Pindamonhangaba (SP), deputado estadual e federal e governador, e afirmou que se aposentou pelo INSS (Instituto Nacional do Seguro Social), com R$ 5.000 de aposentadoria.<p> ""Moro no mesmo apartamento. Então eu me sinto indignado, porque há uma tendência agora no Brasil de defenestrar a política, dizer que é todo mundo igual. Não, não é. Quem enricar com política é ladrão. L-a-d-r-ã-o"", afirmou Alckmin, soletrando a última palavra. ""Tem que diferenciar as coisas"", completou. ""Isso é um absurdo verdadeiro"", disse o presidenciável. Alckmin afirmou que seu patrimônio total é de R$ 1,3 milhão, ""praticamente o mesmo de quatro anos atrás"".<p> O pré-candidato do PSDB disse ainda que todas as suas campanhas ""foram feitas rigorosamente dentro da lei, sem nenhuma ostentação"", depois de ser indagado sobre o suposto envolvimento de Adhemar Ribeiro, seu cunhado, na arrecadação de caixa 2 para despesas eleitorais.<p> Na delação da Odebrecht, Ribeiro foi acusado de ser intermediário no recebimento de R$ 10 milhões em caixa 2. ""Ficou 1 ano essa delação na PGR [Procuradoria-Geral da República  e não se chegou a nada"", diz o presidenciável. ""Não tem absolutamente nada.""<p> Segundo o ex-governador, seu cunhado é apenas um ""simpatizante do PSDB"".<p> ""Ele é casado com uma banqueira, dono de financeira, simpatizante do partido, nada mais do que isso. Não tem nenhuma relação com o governo"", declarou, sobre o cunhado, irmão de sua mulher, Maria Lúcia Guimarães Ribeira, conhecida como dona Lu.<p> Alckmin rebateu ainda as <p> ""Essa [acusação] da CCR eu não sei o que é, e está publicado na primeira página do jornal"", disse.<p> Questionado sobre as denúncias de irregularidades envolvendo as obras do Rodoanel, Alckmin afirmou que as investigações sobre o ex-diretor da Dersa Paulo Vieira de Souza --conhecido como Paulo Preto-- foram iniciadas pelo próprio governo. Documentos enviados ao Ministério Público mostram que Souza tinha R$ 113 milhões em contas na Suíça. ""Se isso for provado, ele tem que dizer a origem do dinheiro"", disse o pré-candidato do PSDB.<p> Sobre a investigação encaminhada pelo STJ (Superior Tribunal de Justiça) para a Justiça Eleitoral de São Paulo, depois que ele perdeu o foro privilegiado ao deixar o governo do estado, no mês passado, Alckmin disse que esse é ""o foro adequado"".<p> Ele argumentou que a decisão do Ministério Público paulista de abrir uma investigação criminal contrariou o STJ e a PGR (Procuradoria-Geral da República), mas afirmou que ""não tem nenhum problema"". ""Pode fazer as duas investigações"", declarou.<p> A sabatina com o tucano acontece no dia em que o ex-presidente do PSDB Eduardo Azeredo foi considerado foragido pela Polícia Civil de Minas Gerais.<p> Sobre o assunto, Alckmin afirmou que o PSDB não é imune a críticas nem à prestação de contas ao Poder Judiciário e <p> ""O PSDB não é imune à crítica, a prestar contas ao Poder Judiciário. Nós não passamos a mão na cabeça de ninguém. Justiça se cumpre. É para o PT, para o PSDB, é para todos os partidos. Ninguém está acima da lei Cumpra-se a Justiça, é essa a nossa posição"", declarou.<p> O presidenciável também foi questionado sobre <p> Questionado sobre como avalia o governo do presidente Michel Temer (MDB), Alckmin disse ser ""claro"" que faltou legitimidade ao emedebista para fazer as reformas propostas e, indiretamente, ser difícil governar com tantas acusações de corrupção. Ele se recusou a dar uma nota para a atual gestão.<p> ""Quando você não tem voto, você é meio intruso. Então, essa é lógica da democracia. Ela traz força, legitimidade, crença. [...] Pelas circunstâncias, primeiro pelo impeachment, isso é um trauma. É óbvio que tem consequências. Depois, não ter voto. As circunstâncias todas, dificílimo"", assegurou.<p> Em seguida, indagou como seria possível querer aprovar a reforma da Previdência no último ano de mandato. Temer e ministros já deram declarações de terem vontade de aprovar a medida após as eleições. ""Isso não existe"", assegurou.<p> Na sabatina, Alckmin informou querer implementar pelo menos quatro reformas: política, com voto distrital ou distrital misto; reforma tributária; reforma de Estado; e reforma da Previdência (sem a entrada das Forças Armadas em um regime único, mas com mudanças para os militares). Se eleito, garantiu que enviará projetos de lei e propostas de emenda constitucional até 1º de fevereiro de 2019. <p> O pré-candidato se disse favorável à reforma trabalhista aprovada pelo governo Michel Temer e que ela foi ""bem-feita"". Contudo, afirmou que precisa ser aperfeiçoada, como os termos de trabalho de grávidas e lactantes em situações de insalubridade.<p> Questionado se recriaria a CPMF (Contribuição Provisória sobre Movimentação Financeira), Alckmin negou e falou ser ""muito cômodo acertar as contas públicas aumentando a carga tributária"". Para o pré-candidato, é preciso reduzir despesas para aumentar a confiança, gerar investimentos e fazer a economia crescer.<p> Alckmin foi o terceiro sabatinado da série. O senador <p> No último dia 21, foi a vez do <p> Na quinta-feira (24), a pré-candidata Marina Silva (Rede) será a quarta entrevistada.<p> Jair Bolsonaro (PSL) foi convidado, mas ainda não confirmou presença. ",do UOL,{sp},"{psdb, pt, psl, prb, mdb, rede}"
14,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/alckmin-desconversa-sobre-apoio-de-aecio-neves-na-eleicao.htm," O pré-candidato à presidência Geraldo Alckmin (PSDB) não pretende ter o apoio do colega de partido Aécio Neves em sua campanha eleitoral. Na sabatina promovida por <p> ""Tenho impressão que ele não será candidato"", afirmou Alckmin quando questionado se subirá no palanque de Neves em Minas Gerais ou se receberia o senador em seu comício.<p> Sobre o ex-governador do Paraná, Beto Richa, também colega de partido, pré-candidato ao Senado e <p> Alckmin também disse ser contra o foro privilegiado. ""Não precisa ter foro nenhum"", afirmou o pré-candidato. ""A Justiça é igual para todo mundo.""<p> Alckmin é o terceiro sabatinado da série. O senador <p> No último dia 21, foi a vez do <p> Na quinta-feira (24), a pré-candidata Marina Silva (Rede) será a quarta entrevistada.", Alckmin diz que Aécio não será candidato e que não subirá em palanque ,"{pr, mg}","{psdb, rede}"
15,https://www3.uol.com.br/uolmais/2018/05/23/alckmin-rebate-acusacoes-sobre-ter-recebido-propina-da-ccr.htm,"O ex-governador de São Paulo Geraldo Alckmin (PSDB) rebateu durante sabatina do UOL, Folha de S. Paulo e SBT, as acusações de que sua campanha teria recebido R$ 5 milhões em caixa 2 da CCR em 2010, e afirmou que agiu contra o interesse da concessionária de estradas ao quebrar o monopólio do produto Sem Parar, que serve para pagar pedágios.",UOL Notícias,{sp},{psdb}
16,https://www3.uol.com.br/uolmais/2018/05/23/nao-passamos-a-mao-na-cabeca-de-ninguem-diz-alckmin-sobre-azeredo.htm,"O pré-candidato à Presidência e ex-governador de São Paulo, Geraldo Alckmin (PSDB), afirmou nesta quarta-feira (23), em sabatina promovida por UOL, Folha de S.Paulo e SBT, que o PSDB não é imune a críticas nem à prestação de contas ao Poder Judiciário quando questionado sobre o ex-governador de Minas Gerais Eduardo Azeredo (PSDB) estar foragido."," Alckmin minimiza pesquisas eleitorais: ""O que é decolar?"" ","{mg, sp}",{psdb}
17,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/alckmin-azeredo-foragido.htm,"Carine Wallauer/UOL<p>Geraldo Alckmin, pré-candidato do PSDB, participa de sabatina com jornalistas do UOL, Folha de S. Paulo e SBT<p> O pré-candidato à Presidência e ex-governador de São Paulo, Geraldo Alckmin (PSDB), afirmou nesta quarta-feira (23), em sabatina promovida por <p> Alckmin, que se licenciou do governo do estado para concorrer às eleições, também defendeu que a Justiça é para todos os partidos e deve ser cumprida.<p> ""O PSDB não é imune à crítica, a prestar contas ao Poder Judiciário. Nós não passamos a mão na cabeça de ninguém. Justiça se cumpre. É para o PT, para o PSDB, é para todos os partidos. Ninguém está acima da lei. Cumpra-se a Justiça, é essa a nossa posição"", declarou.<p> Questionado sobre o caso específico de Azeredo, o ex-governador disse que não é advogado e nem leu o processo. ""Decisão judicial se cumpre. Garante o direito de defesa e respeita a decisão judicial. Ela tem que ser para todo mundo. [Azeredo] Vai cumprir a decisão judicial"", declarou.<p> Indagado também sobre a demora no trâmite da ação contra Azeredo – 11 anos – o pré-candidato tucano reconheceu que o Brasil tem um histórico de morosidade por causa da quantidade de recursos. Para ele, a questão é institucional e se busca corrigi-la.<p> Alckmin também afirmou apoiar a prisão imediata do condenado após o esgotamento dos recursos na segunda instância da Justiça. Ao contrário, disse, os tribunais de Justiça serão um ""órgão de passagem"" e não terão efeito prático.<p> Alckmin é o terceiro sabatinado da série. O senador <p> No último dia 21, foi a vez do <p> Na quinta-feira (24), a pré-candidata Marina Silva (Rede) será a quarta entrevistada.",do UOL,{sp},"{psdb, rede, pt}"
18,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/23/nao-vou-sair-do-partido-e-ninguem-me-tira-afirma-eunicio.htm,"Adriano Machado/Reuters<p> O presidente do Congresso, senador Eunício Oliveira (MDB-CE), reagiu ao recado do presidente Michel Temer que nesta terça-feira, 22, convidou a se retirar do partido quem se recusar a apoiar a candidatura do ex-ministro da Fazenda Henrique Meirelles ao Palácio do Planalto. Filiado há 45 anos no MDB, Eunício avisou, em entrevista ao jornal O Estado de S. Paulo, que não vai seguir a recomendação. ""Não vou sair e ninguém me tira.""<p> Eunício também criticou a política de preço dos combustíveis implantada pelo presidente da Petrobras, Pedro Parente. ""Entre os 'Parentes' e os consumidores eu vou ficar com os consumidores"", afirmou.<p> Eu vou ficar no MDB e vou tomar a minha própria decisão em relação a coligações estaduais e à Presidência da República. Não vou sair e ninguém me tira. Tenho 45 anos de partido.<p> Eu lamento que a direção nacional não tenha construído uma candidatura viável do partido. Aqui no Senado eu já vi gente se filiando de manhã para ocupar lugares na Mesa Diretora à noite. Sinceramente, eu não tenho nenhuma relação pessoal com o ex-ministro Meirelles. O conheci como presidente do BC (Banco Central). Ele nunca exerceu nenhum mandato pelo MDB. Não sei nem por quais partidos ele passou. Sei que do MDB ele não é.<p> O presidente da República é um filiado como outro qualquer. Dentro do MDB ninguém é maior do que ninguém. Esse é o PMDB que eu nasci nele e vou morrer nele. Não vou aceitar que ninguém me faça cobrança e me ameace. Já tive muita divergência dentro do partido, mas nunca saí e não vou mudar. Não vou cumprir missão de quem quer que seja. Vou morrer com a bandeira do Brasil em cima do caixão, a do Ceará e a do MDB.<p> Ninguém nunca botou cabresto ou uma corda na cabeça ou no pescoço e laçou para levar para onde quis. Comuniquei ao presidente da República em novembro. Já este ano, numa conversa com o presidente, ele disse que eu sempre estive liberado dentro do partido.<p> Estou conversando com minha coligação (que inclui o PT, do ex-presidente Luiz Inácio Lula da Silva, e o PDT, do presidenciável Ciro Gomes).<p> Nunca comi uma colher de sal com ele. Estou há quase dois anos na presidência do Congresso e nunca tive relacionamento com ele. Acredito que seja um brasileiro capaz. Agora, uma coisa é um brasileiro capaz e outra é um militante partidário.<p> É outro brasileiro por quem eu tenho respeito à distância.<p> Entre os 'Parentes' e os consumidores, eu vou ficar com os consumidores. É abusivo o que aconteceu no Brasil. Olha que eu sou ponderado. São 11 aumentos em 16 dias. E que ninguém venha me dizer que foi em função do dólar.<p> Já temos o aumento do combustível e agora vamos aprovar outra MP preparativa para o aumento de energia? Pelo amor de Deus! Energia, gasolina, gás de cozinha. As pessoas estão com medo de voltar ao fogão a lenha e ainda serem penalizadas pelo Ibama. Por isso montamos uma comissão geral. O ministro da Fazenda, o presidente do Cade (Conselho Administrativo de Defesa Econômica), os representante das distribuidoras vão ter que se explicar.<p> A Previdência tem que ser discutida pelos candidatos à Presidência da República para que as pessoas escolham a proposta que querem apoiar. Não é esse governo que tem que fazer a pauta da Previdência. As informações são do jornal O Estado de S. Paulo.", Alckmin desconversa sobre apoio de Aécio Neves na eleição ,{ce},"{mdb, pdt, pt}"
19,https://paranaportal.uol.com.br/politica/tse-garante-ao-menos-r-510-milhoes-para-campanha-eleitoral-de-mulheres/,0,do UOL,{},{}
20,http://congressoemfoco.uol.com.br/noticias/cordialidade-e-populismo-sanguinario/,0, Alckmin rebate acusações sobre ter recebido propina da CCR ,{},{}
21,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/23/com-cameras-e-vigilante-fas-do-pr-gastam-r-8000-por-outdoor-de-bolsonaro.htm,"Carlos Ohara/UOL<p> Uma foto desfocada, resultado da baixa resolução da imagem, do deputado federal Jair Bolsonaro (PSL-RJ) estampada em um outdoor de 6 metros de altura por 12 metros de largura - com marcas de pichação removida parcialmente, onde ainda possível ler as palavras ""machista"" e ""fascista"" – reúne um forte esquema de segurança em torno de si.<p> O painel está cercado por um sistema que inclui monitoramento de câmeras com sensores infravermelho, ronda de vigilantes motorizados e troca de informações em tempo real sobre a integridade do painel, iluminado durante a noite por potentes refletores. Toda a movimentação no local é registrada e arquivada durante 24 horas em discos rígidos e podem ser acessadas a qualquer momento. <p> A operação de proteção foi deflagrada no último final de semana em Campo Mourão, cidade localizada a 460 km de Curitiba, com cerca de 100 mil habitantes e um dos principais polos de produção agrícola do Paraná.<p> O plano de segurança do painel teve início após dois outdoors semelhantes terem sido pichados. Uma das peças publicitárias chegou a ser chamuscada por um foco de incêndio intencional. Os casos foram registrados e estão sendo investigados por policiais da 16ª Subdivisão Policial (SDP) da cidade. <p> Os custos do sistema de segurança estão sendo financiados por produtores rurais, empresários e simpatizantes locais pré-candidato a Presidente da República. Dois outros outdoors, de três metros de altura por nove metros de largura cada um, também estão espalhados pela cidade e, nos próximos dias, mais um será instalado na área central do município. <p> Apesar de defender as teses do deputado carioca, o grupo, que mantém contato via WhatsApp, evita expor suas opiniões publicamente. Eles temem que o posicionamento político possa atrapalhar negociações com clientes.<p> Dono de uma distribuidora de extintores de incêndio, o comerciante Ednaldo Manoel Maniezo, 40, é apontado pelos demais como porta-voz do grupo, que conta com cerca de 250 pessoas.<p> ",UOL Notícias,"{pr, rj}",{psl}
